code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at,close,ret_1d,ret_5d,ret_20d,ma20_bias,volume_ratio_20,volatility_20,qlib_mom_5_rank,qlib_mom_20_rank,qlib_ma20_bias_rank,qlib_volume_rank,qlib_volatility_rank,qlib_factor_score,lumen_score,lumen_rating,lumen_signal_count,sector_ret_5d,sector_ret_20d,sector_trend_score,popularity_score,lumen_score_norm,combined_score,top_signals
000811,SZ000811,冰轮环境,247,-1.0,-182.0,3327.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,通用设备制造业,通用设备制造业,C 制造业,东亚自贸;地热能;碳中和;节能环保;黄河三角,东亚自贸,5,True,科技,AI算力与数据中心,液冷温控,科技>AI算力与数据中心>液冷温控,AI算力与数据中心;软件AI与信创;机器人与智能汽车,液冷温控;算力基础设施;AI应用;机器人,液冷服务器;数据中心(AIDC);人工智能;机器人概念,ths,2026-07-11T18:23:53,53.47,-0.02975866448920339,0.015574548907882235,0.706126356094448,0.1267397878012031,1.0316557121288294,0.0623808005721908,54.0,96.66666666666667,82.0,29.333333333333332,22.0,67.1,,no_data,0,-0.006113475127371593,0.26442732659931134,73.75,95.55153707052442,50.0,74.16,Eastmoney:hot_rank_score(95.6) | qlib:qlib_factor_score(67.1) | qlib:momentum_20d(46.7) | Eastmoney:rank_change(-1.0) | qlib:volume_ratio_20d(-20.7)
000063,SZ000063,中兴通讯,33,0.0,-21.0,2546.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,5G概念;保险重仓;信托重仓;分拆上市;含H股;基金重仓;宽带提速;智能穿戴;深圳本地;股权激励;融资融券;金融参股,5G概念,12,True,科技,光通信与高速互联,光模块/CPO,科技>光通信与高速互联>光模块/CPO,光通信与高速互联;AI终端与消费电子;电子制造与通信设备,光模块/CPO;AI终端;其他电子通信,光纤概念;AI手机;industry_fallback,ths,2026-07-11T18:23:53,40.53,0.004959087527894868,0.1140736668499176,0.07193864057127741,0.08639129385906119,2.057107783911797,0.037323620112666336,88.0,43.333333333333336,73.33333333333333,88.66666666666667,87.33333333333333,71.73,,no_data,0,0.013540320649512605,0.08498111618704529,48.5,99.42133815551537,50.0,73.62,Eastmoney:hot_rank_score(99.4) | qlib:qlib_factor_score(71.7) | qlib:volume_ratio_20d(38.7) | Eastmoney:rank_change(0.0) | qlib:momentum_20d(-6.7)
301583,SZ301583,N托伦斯,12,0.0,0.0,2428.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,,no_data,0,0.15627446740717543,0.3153248636318986,97.25,99.80108499095842,50.0,73.57,Eastmoney:hot_rank_score(99.8) | qlib:qlib_factor_score(50.0) | Eastmoney:rank_change(0.0) | qlib:momentum_20d(0.0) | qlib:volume_ratio_20d(0.0)
301310,SZ301310,鑫宏业,438,-1.0,1222.0,407.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电气机械和器材制造业,电气机械和器材制造业,C 制造业,高压快充,高压快充,1,True,科技,光通信与高速互联,铜缆高速连接,科技>光通信与高速互联>铜缆高速连接,光通信与高速互联;机器人与智能汽车,铜缆高速连接;机器人,铜缆高速连接;人形机器人;机器人概念,ths,2026-07-11T18:23:53,58.64,0.11440516913721033,0.10122065727699536,0.8940568475452195,0.19961131284201916,1.1138290493140697,0.07964898231719629,86.0,98.66666666666667,94.0,36.666666666666664,4.0,79.9,,no_data,0,-0.030512011677835793,0.13132519705344103,47.75,92.09764918625677,50.0,73.41,Eastmoney:hot_rank_score(92.1) | qlib:qlib_factor_score(79.9) | qlib:momentum_20d(48.7) | Eastmoney:rank_change(-1.0) | qlib:volume_ratio_20d(-13.3)
001248,SZ001248,华润新能源,48,0.0,-23.0,2559.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53,,,,,,,,50.0,50.0,50.0,50.0,50.0,50.0,,no_data,0,0.15627446740717543,0.3153248636318986,97.25,99.15009041591321,50.0,73.35,Eastmoney:hot_rank_score(99.2) | qlib:qlib_factor_score(50.0) | qlib:volume_ratio_20d(0.0) | qlib:momentum_20d(0.0) | Eastmoney:rank_change(0.0)
301191,SZ301191,菲菱科思,791,0.0,-37.0,2630.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,,,0,True,科技,软件AI与信创,信创与数据要素,科技>软件AI与信创>信创与数据要素,软件AI与信创;机器人与智能汽车;电子制造与通信设备,信创与数据要素;智能汽车;其他电子通信,信创;网络安全;汽车电子;industry_fallback,ths,2026-07-11T18:23:53,122.83,-0.025081355663147842,0.09172517998400131,0.3090695939464989,0.09730386463935381,1.7457482766282242,0.0731281513829638,82.66666666666667,79.33333333333333,75.33333333333333,79.33333333333333,7.333333333333333,75.93,,no_data,0,0.04108887114031945,0.13422623107201304,70.75,85.71428571428572,50.0,72.98,Eastmoney:hot_rank_score(85.7) | qlib:qlib_factor_score(75.9) | qlib:volume_ratio_20d(29.3) | qlib:momentum_20d(29.3) | Eastmoney:rank_change(0.0)
600460,SH600460,士兰微,84,0.0,-6.0,2466.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,业绩预升;绿色照明;触摸屏,业绩预升,3,True,科技,半导体与先进封装,芯片/半导体,科技>半导体与先进封装>芯片/半导体,半导体与先进封装;机器人与智能汽车;电子制造与通信设备,芯片/半导体;智能汽车;其他电子通信,MCU芯片;汽车芯片;industry_fallback,ths,2026-07-11T18:23:53,44.51,-0.0803719008264463,-0.057989417989418035,0.34147076552139843,-0.03420741431872676,1.1518225474419697,0.05118638510572202,33.33333333333333,82.66666666666667,34.66666666666667,42.0,58.666666666666664,50.97,,no_data,0,0.0245676988397181,0.33183705531434304,93.25,98.499095840868,50.0,72.89,Eastmoney:hot_rank_score(98.5) | qlib:qlib_factor_score(51.0) | qlib:momentum_20d(32.7) | Eastmoney:rank_change(0.0) | qlib:volume_ratio_20d(-8.0)
688629,SH688629,华丰科技,445,-2.0,-157.0,3226.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,,,0,True,科技,光通信与高速互联,铜缆高速连接,科技>光通信与高速互联>铜缆高速连接,光通信与高速互联;电子制造与通信设备,铜缆高速连接;其他电子通信,铜缆高速连接;industry_fallback,ths,2026-07-11T18:23:53,202.0,-0.03662724151087371,0.12222222222222223,0.42253521126760574,0.18473683593154333,1.13931010158967,0.062095906512641075,88.66666666666667,86.66666666666667,91.33333333333333,39.33333333333333,24.0,77.97,,no_data,0,-0.030512011677835793,0.13132519705344103,47.75,91.97106690777576,50.0,72.79,Eastmoney:hot_rank_score(92.0) | qlib:qlib_factor_score(78.0) | qlib:momentum_20d(36.7) | Eastmoney:rank_change(-2.0) | qlib:volume_ratio_20d(-10.7)
002465,SZ002465,海格通信,89,0.0,631.0,959.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,信托重仓;军工航天;军民融合;券商重仓;卫星导航;国防军工,信托重仓,6,True,科技,电子制造与通信设备,其他电子通信,科技>电子制造与通信设备>其他电子通信,电子制造与通信设备,其他电子通信,industry_fallback,industry_fallback,2026-07-11T18:23:53,13.58,0.08901363271852447,0.04461538461538472,-0.0014705882352941124,0.04966183574879235,2.190287631307387,0.036125702331175444,70.66666666666667,28.666666666666668,64.0,94.0,88.0,61.1,,no_data,0,0.019882560202737487,0.1584340178480348,67.25,98.40867992766727,50.0,72.52,Eastmoney:hot_rank_score(98.4) | qlib:qlib_factor_score(61.1) | qlib:volume_ratio_20d(44.0) | Eastmoney:rank_change(0.0) | qlib:momentum_20d(-21.3)
001365,SZ001365,天海电子,299,1.0,-18.0,2525.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,汽车制造业,汽车制造业,C 制造业,,,0,True,科技,PCB与电子制造,PCB,科技>PCB与电子制造>PCB,PCB与电子制造;机器人与智能汽车,PCB;机器人;智能汽车,PCB概念;机器人概念;人形机器人;无人驾驶;汽车电子,ths,2026-07-11T18:23:53,50.0,0.0561892691170256,0.1798017932987257,0.29802699896157825,0.1874651182121525,2.098845069584355,0.05767266584486706,94.66666666666667,78.66666666666666,92.66666666666666,89.33333333333333,38.0,85.83,,no_data,0,-0.10116333404371569,0.07356591926161071,18.75,94.61121157323689,50.0,72.3,Eastmoney:hot_rank_score(94.6) | qlib:qlib_factor_score(85.8) | qlib:volume_ratio_20d(39.3) | qlib:momentum_20d(28.7) | Eastmoney:rank_change(1.0)
