board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks,curve_member_count,curve_members,sector_ret_5d,sector_ret_20d,sector_trend_score
石油加工、炼焦和核燃料加工业,石油加工、炼焦和核燃料加工业,,,False,2,1163,1511.5,603661:恒林股份#1163 | 603818:曲美家居#1860,,,,,50.0
水的生产和供应业,水的生产和供应业,,,False,2,1839,1864.0,600187:*ST国中#1839 | 600769:祥龙电业#1889,,,,,50.0
专业技术服务业,专业技术服务业,,,False,1,69,69.0,603698:航天工程#69,,,,,50.0
教育,教育,,,False,1,133,133.0,002607:中公教育#133,,,,,50.0
文教、工美、体育和娱乐用品制造业,文教、工美、体育和娱乐用品制造业,,,False,1,524,524.0,002292:奥飞娱乐#524,,,,,50.0
印刷和记录媒介复制业,印刷和记录媒介复制业,,,False,1,660,660.0,002951:金时科技#660,,,,,50.0
农、林、牧、渔服务业,农、林、牧、渔服务业,,,False,1,961,961.0,300498:温氏股份#961,,,,,50.0
房屋建筑业,房屋建筑业,,,False,1,1035,1035.0,000628:高新发展#1035,,,,,50.0
非金属矿采选业,非金属矿采选业,,,False,1,1037,1037.0,603505:金石资源#1037,,,,,50.0
金属制品、机械和设备修理业,金属制品、机械和设备修理业,,,False,1,1043,1043.0,603020:爱普股份#1043,,,,,50.0
皮革、毛皮、羽毛及其制品和制鞋业,皮革、毛皮、羽毛及其制品和制鞋业,,,False,1,1063,1063.0,603608:天创时尚#1063,,,,,50.0
邮政业,邮政业,,,False,1,1206,1206.0,002352:顺丰控股#1206,,,,,50.0
道路运输业,道路运输业,,,False,1,1226,1226.0,600611:大众交通#1226,,,,,50.0
公共设施管理业,公共设施管理业,,,False,1,1282,1282.0,600593:大连圣亚#1282,,,,,50.0
体育,体育,,,False,1,1341,1341.0,600158:中体产业#1341,,,,,50.0
租赁业,租赁业,,,False,1,1630,1630.0,603300:海南华铁#1630,,,,,50.0
纺织服装、服饰业,纺织服装、服饰业,,,False,1,1689,1689.0,300005:探路者#1689,,,,,50.0
