board_type,board,stock_count,best_rank,avg_rank,top_stocks
industry,文化艺术业,2,424,566.0,603466:风语筑#424 | 000681:视觉中国#708
industry,废弃资源综合利用业,2,636,1310.5,002340:格林美#636 | 300779:惠城环保#1985
industry,印刷和记录媒介复制业,2,660,766.0,002951:金时科技#660 | 002229:鸿博股份#872
industry,黑色金属矿采选业,2,1060,1267.5,000762:西藏矿业#1060 | 001203:大中矿业#1475
industry,纺织业,2,1123,1338.5,600630:龙头股份#1123 | 002083:孚日股份#1554
industry,铁路运输业,2,1126,1425.5,601006:XD大秦铁#1126 | 601816:京沪高铁#1725
industry,石油加工、炼焦和核燃料加工业,2,1163,1511.5,603661:恒林股份#1163 | 603818:曲美家居#1860
industry,水的生产和供应业,2,1839,1864.0,600187:*ST国中#1839 | 600769:祥龙电业#1889
industry,教育,1,133,133.0,002607:中公教育#133
industry,林业,1,417,417.0,000592:平潭发展#417
industry,文教、工美、体育和娱乐用品制造业,1,524,524.0,002292:奥飞娱乐#524
industry,铁路、船舶、航空航天和其他运输设备制造业,1,524,524.0,002292:奥飞娱乐#524
industry,新闻和出版业,1,539,539.0,300364:中文在线#539
industry,专用设备制造业,1,872,872.0,002229:鸿博股份#872
industry,农、林、牧、渔服务业,1,961,961.0,300498:温氏股份#961
industry,房屋建筑业,1,1035,1035.0,000628:高新发展#1035
industry,非金属矿采选业,1,1037,1037.0,603505:金石资源#1037
industry,邮政业,1,1206,1206.0,002352:顺丰控股#1206
industry,道路运输业,1,1226,1226.0,600611:大众交通#1226
industry,公共设施管理业,1,1282,1282.0,600593:大连圣亚#1282
industry,仓储业,1,1295,1295.0,300873:海晨股份#1295
industry,体育,1,1341,1341.0,600158:中体产业#1341
industry,木材加工和木、竹、藤、棕、草制品业,1,1583,1583.0,002631:德尔未来#1583
industry,租赁业,1,1630,1630.0,603300:海南华铁#1630
industry,装卸搬运和运输代理业,1,1641,1641.0,600179:安通控股#1641
industry,纺织服装、服饰业,1,1689,1689.0,300005:探路者#1689
