board_path,board_l1,board_l2,board_l3,is_tech,stock_count,best_rank,avg_rank,top_stocks
纺织服装、服饰业,纺织服装、服饰业,,,False,3,932,1503.33,002486:嘉麟杰#932 | 300005:探路者#1721 | 603196:璞源材料#1857
广播、电视、电影和影视录音制作业,广播、电视、电影和影视录音制作业,,,False,3,1227,1411.0,600977:中国电影#1227 | 002739:儒意电影#1408 | 603103:横店影视#1598
水的生产和供应业,水的生产和供应业,,,False,2,233,1001.5,600769:祥龙电业#233 | 600187:*ST国中#1770
非金属矿采选业,非金属矿采选业,,,False,2,374,1031.5,605086:龙高股份#374 | 603505:金石资源#1689
农业,农业,,,False,2,387,1180.0,600108:亚盛集团#387 | 601118:海南橡胶#1973
黑色金属矿采选业,黑色金属矿采选业,,,False,2,804,871.0,001203:大中矿业#804 | 000762:西藏矿业#938
教育,教育,,,False,2,995,1354.5,002607:中公教育#995 | 600730:*ST高科#1714
铁路运输业,铁路运输业,,,False,2,1056,1108.0,601816:京沪高铁#1056 | 601006:大秦铁路#1160
石油加工、炼焦和核燃料加工业,石油加工、炼焦和核燃料加工业,,,False,2,1289,1640.0,603818:曲美家居#1289 | 603661:恒林股份#1991
金属制品、机械和设备修理业,金属制品、机械和设备修理业,,,False,1,593,593.0,603020:爱普股份#593
E 建筑业,E 建筑业,,,False,1,658,658.0,300029:天龙退#658
皮革、毛皮、羽毛及其制品和制鞋业,皮革、毛皮、羽毛及其制品和制鞋业,,,False,1,731,731.0,603608:天创时尚#731
邮政业,邮政业,,,False,1,738,738.0,002352:顺丰控股#738
体育,体育,,,False,1,1131,1131.0,600158:中体产业#1131
农、林、牧、渔服务业,农、林、牧、渔服务业,,,False,1,1283,1283.0,300498:温氏股份#1283
石油和天然气开采业,石油和天然气开采业,,,False,1,1519,1519.0,000697:炼石航空#1519
科技推广和应用服务业,科技推广和应用服务业,,,False,1,1696,1696.0,003035:南网能源#1696
印刷和记录媒介复制业,印刷和记录媒介复制业,,,False,1,1756,1756.0,002951:金时科技#1756
专用设备制造业,专用设备制造业,,,False,1,1825,1825.0,002191:劲嘉股份#1825
仓储业,仓储业,,,False,1,1855,1855.0,300013:新宁物流#1855
租赁业,租赁业,,,False,1,1915,1915.0,603300:海南华铁#1915
房屋建筑业,房屋建筑业,,,False,1,1962,1962.0,000628:高新发展#1962
新闻和出版业,新闻和出版业,,,False,1,1992,1992.0,600229:城市传媒#1992
