source_board,source_code,member_count,fetch_status
reuse_classification_file,/opt/lumenalpha/data/a_share_hot_rank/a_share_hot_rank_top2000_tech_reclassified_latest.csv,2000,reused_classification_file
local_industry_fallback,,0,fallback_for_missing_codes
