board_type,board,stock_count,best_rank,avg_rank,top_stocks
concept,股期概念,8,131,1027.88,600030:中信证券#131 | 000783:长江证券#331 | 000060:中金岭南#789 | 000878:云南铜业#996 | 000628:高新发展#1035
concept,基因概念,8,151,811.62,603118:共进股份#151 | 300244:迪安诊断#207 | 000661:长春高新#447 | 002584:西陇科学#572 | 300436:广生堂#1021
concept,体育概念,8,567,1129.5,002181:粤 传 媒#567 | 002081:金 螳 螂#579 | 300162:雷曼光电#785 | 002027:分众传媒#1089 | 600158:中体产业#1341
concept,土地流转,7,1,494.86,002185:华天科技#1 | 000620:盈新发展#58 | 600759:ST洲际#120 | 000048:京基智农#190 | 600246:万通发展#329
concept,京津冀,7,14,787.0,002342:巨力索具#14 | 600376:首开股份#146 | 600246:万通发展#329 | 600722:金牛化工#1071 | 600482:中国动力#1260
concept,互联金融,7,22,874.0,300059:东方财富#22 | 000062:深圳华强#413 | 300033:同花顺#643 | 601519:大智慧#1006 | 600570:恒生电子#1049
concept,CXO概念,7,44,487.86,603127:昭衍新药#44 | 300759:康龙化成#113 | 300347:泰格医药#263 | 002821:凯莱英#284 | 603456:九洲药业#467
concept,鸿蒙概念,7,86,593.71,002261:拓维信息#86 | 002558:巨人网络#150 | 600418:江淮汽车#384 | 002123:梦网科技#700 | 300339:润和软件#704
concept,民营医院,7,103,864.29,600105:永鼎股份#103 | 000700:模塑科技#568 | 600196:复星医药#600 | 300015:爱尔眼科#664 | 600518:康美药业#1053
concept,猪肉,7,132,744.86,002714:牧原股份#132 | 000048:京基智农#190 | 002726:ST龙大#677 | 300498:温氏股份#961 | 002157:正邦科技#968
concept,生物疫苗,7,320,647.29,000078:ST海王#320 | 000661:长春高新#447 | 300142:沃森生物#485 | 300122:智飞生物#501 | 600196:复星医药#600
concept,建筑节能,7,515,1308.29,600309:万华化学#515 | 002421:达实智能#556 | 002165:红 宝 丽#1193 | 000012:南  玻Ａ#1208 | 002169:智光电气#1774
concept,上海自贸,7,522,973.14,600170:上海建工#522 | 600895:张江高科#550 | 002183:怡 亚 通#721 | 600630:龙头股份#1123 | 600611:大众交通#1226
concept,迪士尼,7,522,1118.14,600170:上海建工#522 | 600895:张江高科#550 | 600630:龙头股份#1123 | 600611:大众交通#1226 | 600115:中国东航#1283
concept,垃圾分类,7,627,1335.57,300249:依米康#627 | 002340:格林美#636 | 002009:天奇股份#1321 | 002645:华宏科技#1575 | 000967:盈峰环境#1609
concept,高校背景,6,5,408.17,000938:紫光股份#5 | 000988:华工科技#56 | 600601:方正科技#218 | 002297:博云新材#300 | 600857:宁波中百#496
concept,水利建设,6,29,524.0,002131:利欧股份#29 | 002457:青龙管业#160 | 601669:XD中国电#570 | 300145:南方泵业#618 | 002532:天山铝业#796
concept,图们江,6,40,541.33,600360:华微电子#40 | 600110:诺德股份#277 | 000661:长春高新#447 | 601929:吉视传媒#543 | 600699:均胜电子#896
concept,奢侈品,6,41,604.33,600519:贵州茅台#41 | 000858:五 粮 液#83 | 601888:中国中免#297 | 002173:创新医疗#486 | 300123:ST亚光#881
concept,CRO概念,6,44,491.33,603127:昭衍新药#44 | 300759:康龙化成#113 | 300347:泰格医药#263 | 002821:凯莱英#284 | 300725:药石科技#536
concept,振兴沈阳,6,46,974.83,600396:华电辽能#46 | 000818:航锦科技#614 | 600795:国电电力#1097 | 600593:大连圣亚#1282 | 000558:天府文旅#1376
concept,电商概念,6,121,618.17,300184:力源信息#121 | 300017:网宿科技#186 | 600869:XD远东股#498 | 600845:宝信软件#733 | 600570:恒生电子#1049
concept,海水淡化,6,196,795.17,000920:沃顿科技#196 | 600481:双良节能#359 | 300145:南方泵业#618 | 600456:宝钛股份#669 | 600458:时代新材#1313
concept,食品安全,6,421,1024.83,601933:永辉超市#421 | 600602:云赛智联#520 | 300260:新莱应材#547 | 002512:ST达华#1098 | 300012:华测检测#1708
concept,三板精选,6,424,957.67,002179:中航光电#424 | 000564:供销大集#487 | 000551:创元科技#689 | 002385:大北农#1059 | 002470:金正大#1420
concept,摘帽概念,6,629,1098.67,000815:美利云#629 | 000799:酒鬼酒#679 | 600962:国投中鲁#832 | 000510:新金路#1377 | 600346:恒力石化#1434
concept,朝鲜改革,5,40,538.2,600360:华微电子#40 | 000661:长春高新#447 | 601929:吉视传媒#543 | 300024:机器人#616 | 000545:金浦钛业#1045
concept,文化振兴,5,86,740.2,002261:拓维信息#86 | 002292:奥飞娱乐#524 | 002181:粤 传 媒#567 | 600637:东方明珠#1010 | 000917:电广传媒#1514
concept,地热能,5,91,395.0,002413:雷科防务#91 | 000811:冰轮环境#247 | 600481:双良节能#359 | 002158:汉钟精机#366 | 300263:隆华科技#912
concept,信息安全,5,186,904.6,300017:网宿科技#186 | 300302:同有科技#812 | 002439:启明星辰#1118 | 300324:旋极信息#1200 | 300229:拓尔思#1207
concept,乡村振兴,5,229,734.0,601012:隆基绿能#229 | 002506:协鑫集成#465 | 600438:通威股份#631 | 002385:大北农#1059 | 300197:节能铁汉#1286
concept,油气改革,5,428,1343.2,002353:杰瑞股份#428 | 600500:中化国际#1184 | 600256:广汇能源#1568 | 002493:荣盛石化#1744 | 002207:*ST准油#1792
concept,生态农业,5,653,1094.4,600143:金发科技#653 | 002157:正邦科技#968 | 002385:大北农#1059 | 002263:大东南#1372 | 002470:金正大#1420
concept,智能家居,4,57,557.5,002402:和而泰#57 | 300342:天银机电#139 | 300131:英唐智控#452 | 002139:拓邦股份#1582
