code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at
688535,SH688535,华海诚科,811,0.0,-646.0,4620.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,,,0,True,科技,半导体与先进封装,先进封装,科技>半导体与先进封装>先进封装,半导体与先进封装;AI终端与消费电子;机器人与智能汽车;电子制造与通信设备,先进封装;芯片/半导体;消费电子;智能汽车;其他电子通信,先进封装;芯片概念;存储芯片;华为概念;汽车电子;汽车芯片;industry_fallback,ths,2026-07-11T18:23:53
300302,SZ300302,同有科技,812,0.0,-327.0,3866.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,软件和信息技术服务业,软件和信息技术服务业,I 信息技术,专精特新;信息安全;军工航天;军民融合;国产软件;国防军工;本月解禁,专精特新,7,True,科技,软件AI与信创,软件信息服务,科技>软件AI与信创>软件信息服务,软件AI与信创,软件信息服务,industry_fallback,industry_fallback,2026-07-11T18:23:53
301123,SZ301123,奕东电子,813,-2.0,-69.0,2813.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,,,0,True,科技,PCB与电子制造,PCB,科技>PCB与电子制造>PCB,PCB与电子制造;光通信与高速互联;AI算力与数据中心;机器人与智能汽车;AI终端与消费电子;电子制造与通信设备,PCB;光模块/CPO;液冷温控;铜缆高速连接;机器人;消费电子;智能汽车;其他电子通信,共封装光学(CPO);PCB概念;液冷服务器;铜缆高速连接;机器人概念;人形机器人;消费电子概念;汽车电子;industry_fallback,ths,2026-07-11T18:23:53
002648,SZ002648,卫星化学,814,0.0,-37.0,2632.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,化学原料和化学制品制造业;金属制品、机械和设备修理业,化学原料和化学制品制造业,C 制造业,光伏,光伏,1,False,化学原料和化学制品制造业,,,化学原料和化学制品制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
002268,SZ002268,电科网安,815,0.0,-58.0,2743.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
300723,SZ300723,一品红,817,-1.0,889.0,657.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,医药制造业,医药制造业,C 制造业,,,0,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心,算力基础设施,英伟达概念,ths,2026-07-11T18:23:53
600793,SH600793,宜宾纸业,818,-1.0,-335.0,3895.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
603355,SH603355,莱克电气,818,1.0,981.0,585.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
300019,SZ300019,硅宝科技,820,-2.0,-456.0,4233.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
300383,SZ300383,光环新网,821,-2.0,6.0,2398.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,软件和信息技术服务业,软件和信息技术服务业,I 信息技术,,,0,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;软件AI与信创,算力基础设施;信创与数据要素;软件信息服务,算力租赁;华为昇腾;华为鲲鹏;industry_fallback,ths,2026-07-11T18:23:53
